ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Membranestainintensityconversions,Intensity_IntegratedIntensity_Membranestainintensityconversions,Intensity_LowerQuartileIntensity_Membranestainintensityconversions,Intensity_MADIntensity_Membranestainintensityconversions,Intensity_MassDisplacement_Membranestainintensityconversions,Intensity_MaxIntensityEdge_Membranestainintensityconversions,Intensity_MaxIntensity_Membranestainintensityconversions,Intensity_MeanIntensityEdge_Membranestainintensityconversions,Intensity_MeanIntensity_Membranestainintensityconversions,Intensity_MedianIntensity_Membranestainintensityconversions,Intensity_MinIntensityEdge_Membranestainintensityconversions,Intensity_MinIntensity_Membranestainintensityconversions,Intensity_StdIntensityEdge_Membranestainintensityconversions,Intensity_StdIntensity_Membranestainintensityconversions,Intensity_UpperQuartileIntensity_Membranestainintensityconversions,Location_CenterMassIntensity_X_Membranestainintensityconversions,Location_CenterMassIntensity_Y_Membranestainintensityconversions,Location_CenterMassIntensity_Z_Membranestainintensityconversions,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Membranestainintensityconversions,Location_MaxIntensity_Y_Membranestainintensityconversions,Location_MaxIntensity_Z_Membranestainintensityconversions,Number_Object_Number
1,69,186.9014084,2945.254503,0.679659367,0.012119234,0.183800774,0.77104485,0.835899115,0.70795988,0.694307992,0.690468371,0.669505417,0.627251863,0.018261206,0.022768235,0.704552889,133.7319693,376.0518661,0,133.7560113,376.2340877,140,360,0,69
1,70,109.5794302,1102.90632,0.680642009,0.013429403,0.116781224,0.76482147,0.771372437,0.706964066,0.695401211,0.69308877,0.66917783,0.638716042,0.018038966,0.020278826,0.708319694,436.0617788,393.408962,0,436.1494325,393.4861286,431,386,0,70
1,71,104.28431,925.94366,0.674091041,0.009826422,0.066838378,0.745168686,0.746478856,0.690624569,0.684363385,0.683589935,0.636095643,0.63019979,0.019738831,0.015987115,0.693743885,59.16452687,401.1473703,0,59.22099039,401.1116038,56,414,0,71
1,72,92.32197845,1051.737962,0.688503087,0.013756931,0.140009619,0.766131699,0.863085508,0.710169065,0.704446056,0.700949907,0.664919734,0.63019979,0.021568554,0.023883706,0.716344595,383.4885059,403.2037677,0,383.6242465,403.1694575,374,422,0,72
1,73,92.7369802,881.6924338,0.675073683,0.010809064,0.046423022,0.795938432,0.795938432,0.697270528,0.68667635,0.685227633,0.6528005,0.639698684,0.021325415,0.017214559,0.697019339,92.74013665,408.5384075,0,92.69392523,408.5428349,105,395,0,73
1,74,134.1745824,1682.749427,0.681624651,0.013756931,0.15645383,0.771372437,0.771372437,0.706182012,0.696502246,0.693743885,0.65411073,0.64657712,0.02219209,0.020738295,0.709793627,329.8550983,411.645385,0,329.7293046,411.7384106,302,439,0,74
1,75,167.7933182,2150.187028,0.67802161,0.010153949,0.058412916,0.752374709,0.761218488,0.699138826,0.688500489,0.687520444,0.659678996,0.636423171,0.017279831,0.015795691,0.698001981,130.4661362,431.3739155,0,130.4079411,431.3688761,155,444,0,75
1,76,129.9764165,1540.326236,0.678349137,0.010153949,0.043678024,0.737307549,0.740583062,0.695061051,0.688875776,0.688175559,0.649525046,0.636095643,0.01621627,0.015146043,0.698657036,417.2735394,430.1616151,0,417.2723614,430.2052773,399,411,0,76
1,77,135.9770716,1966.666883,0.679659367,0.012119234,0.090983727,0.780216157,0.791352749,0.711921841,0.69346505,0.690468371,0.663609564,0.640681326,0.019696565,0.019989228,0.704552889,196.9361462,433.9764043,0,196.8875176,433.8995063,211,458,0,77
1,78,98.6626268,1753.228953,0.67048806,0.010481536,0.137944932,0.792335391,0.829675734,0.699734942,0.682721555,0.680314422,0.647232234,0.625614166,0.017714453,0.019141496,0.6917786,20.19400898,432.8028118,0,20.10397196,432.9073209,9,405,0,78
